Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
8015,TOYOTA TSUSHO CORP,Industrials,Equity,"752,124.48",0.52,"752,124.48","19,000.00",39.59,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6920,LASERTEC CORP,Information Technology,Equity,"742,927.34",0.52,"742,927.34","2,800.00",265.33,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7751,CANON INC,Information Technology,Equity,"735,393.24",0.51,"735,393.24","26,000.00",28.28,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6902,DENSO CORP,Consumer Discretionary,Equity,"729,393.05",0.51,"729,393.05","59,000.00",12.36,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4901,FUJIFILM HOLDINGS CORP,Information Technology,Equity,"721,156.57",0.50,"721,156.57","36,000.00",20.03,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
5020,ENEOS HOLDINGS INC,Energy,Equity,"716,164.29",0.50,"716,164.29","85,000.00",8.43,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
5108,BRIDGESTONE CORP,Consumer Discretionary,Equity,"710,951.53",0.49,"710,951.53","33,000.00",21.54,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
1605,INPEX CORP,Energy,Equity,"677,841.82",0.47,"677,841.82","28,000.00",24.21,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9022,CENTRAL JAPAN RAILWAY,Industrials,Equity,"669,784.88",0.47,"669,784.88","25,000.00",26.79,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8309,SUMITOMO MITSUI TRUST GROUP INC,Financials,Equity,"668,886.93",0.47,"668,886.93","20,008.00",33.43,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7936,ASICS CORP,Consumer Discretionary,Equity,"667,781.66",0.46,"667,781.66","23,000.00",29.03,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
5401,NIPPON STEEL CORP,Materials,Equity,"649,882.52",0.45,"649,882.52","172,000.00",3.78,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7013,IHI CORP,Industrials,Equity,"615,723.33",0.43,"615,723.33","31,000.00",19.86,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
