Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
300033,HITHINK ROYALFLUSH INFORMATION NET,Financials,Equity,"15,185.53",0.01,"15,185.53",420,36.16,China,Shenzhen Stock Exchange,USD,6.82,AQLT
300476,VICTORY GIANT TECHNOLOGY HUIZHOU L,Information Technology,Equity,"15,093.73",0.01,"15,093.73",300,50.31,China,Shenzhen Stock Exchange,USD,6.82,AQLT
4263,SAL SAUDI LOGISTICS SERVICE CO,Industrials,Equity,"14,852.57",0.01,"14,852.57",335,44.34,Saudi Arabia,Saudi Stock Exchange,USD,3.75,AQLT
601225,SHAANXI COAL INDUSTRY LTD A,Energy,Equity,"14,746.38",0.01,"14,746.38","4,100.00",3.6,China,Shanghai Stock Exchange,USD,6.82,AQLT
603259,WUXI APPTEC LTD A,Health Care,Equity,"14,633.14",0.01,"14,633.14","1,000.00",14.63,China,Shanghai Stock Exchange,USD,6.82,AQLT
600809,SHANXI XINGHUACUN FEN WINE FACTORY,Consumer Staples,Equity,"14,258.96",0.01,"14,258.96",700,20.37,China,Shanghai Stock Exchange,USD,6.82,AQLT
ASTRAL,ASTRAL LTD,Industrials,Equity,"13,929.29",0.01,"13,929.29",815,17.09,India,National Stock Exchange Of India,USD,93.11,AQLT
4002,AL MOUWASAT MEDICAL SERVICES,Health Care,Equity,"13,896.26",0.01,"13,896.26",729,19.06,Saudi Arabia,Saudi Stock Exchange,USD,3.75,AQLT
1585,YADEA GROUP HOLDINGS LTD,Consumer Discretionary,Equity,"13,086.37",0.01,"13,086.37","8,000.00",1.64,China,Hong Kong Exchanges And Clearing Ltd,USD,7.83,AQLT
603288,FOSHAN HAI TIAN FLAVOURING & FOOD,Consumer Staples,Equity,"13,001.73",0.01,"13,001.73","2,200.00",5.91,China,Shanghai Stock Exchange,USD,6.82,AQLT
002463,WUS PRINTED CIRCUIT (KUNSHAN) LTD,Information Technology,Equity,"12,937.48",0.01,"12,937.48",900,14.37,China,Shenzhen Stock Exchange,USD,6.82,AQLT
1111,SAUDI TADAWUL GROUP CO,Financials,Equity,"12,529.39",0.01,"12,529.39",323,38.79,Saudi Arabia,Saudi Stock Exchange,USD,3.75,AQLT
9896,MINISO GROUP HOLDING LTD,Consumer Discretionary,Equity,"12,512.24",0.01,"12,512.24","3,200.00",3.91,China,Hong Kong Exchanges And Clearing Ltd,USD,7.83,AQLT
2367,GIANT BIOGENE HOLDING LTD,Consumer Staples,Equity,"12,119.96",0.01,"12,119.96","3,200.00",3.79,China,Hong Kong Exchanges And Clearing Ltd,USD,7.83,AQLT
AMRT,PT SUMBER ALFARIA TRIJAYA,Consumer Staples,Equity,"12,091.56",0.01,"12,091.56","142,200.00",0.09,Indonesia,Indonesia Stock Exchange,USD,"17,170.00",AQLT
000568,LUZHOU LAO JIAO LTD A,Consumer Staples,Equity,"11,810.95",0,"11,810.95",800,14.76,China,Shenzhen Stock Exchange,USD,6.82,AQLT
002371,NAURA TECHNOLOGY GROUP LTD A,Information Technology,Equity,"11,750.68",0,"11,750.68",170,69.12,China,Shenzhen Stock Exchange,USD,6.82,AQLT
THB,THB CASH,Cash and/or Derivatives,Cash,"10,798.74",0,"10,798.74","346,478.00",3.12,Thailand,--,USD,32.09,AQLT
PETDAG,PETRONAS DAGANGAN,Consumer Discretionary,Equity,"10,731.09",0,"10,731.09","2,100.00",5.11,Malaysia,Bursa Malaysia,USD,3.95,AQLT
AUD,AUD CASH,Cash and/or Derivatives,Cash,"9,164.42",0,"9,164.42","12,796.00",71.62,Australia,--,USD,1.4,AQLT
605499,EASTROC BEVERAGE (GROUP) LTD A,Consumer Staples,Equity,"8,964.27",0,"8,964.27",300,29.88,China,Shanghai Stock Exchange,USD,6.82,AQLT
AED,AED CASH,Cash and/or Derivatives,Cash,"8,927.14",0,"8,927.14","32,792.00",27.22,United Arab Emirates,--,USD,3.67,AQLT
600436,ZHANGZHOU PIENTZEHUANG PHARMACEUTI,Health Care,Equity,"8,512.34",0,"8,512.34",400,21.28,China,Shanghai Stock Exchange,USD,6.82,AQLT
300628,YEALINK NETWORK TECHNOLOGY LTD A,Information Technology,Equity,"8,432.54",0,"8,432.54","1,600.00",5.27,China,Shenzhen Stock Exchange,USD,6.82,AQLT
DKK,DKK CASH,Cash and/or Derivatives,Cash,"8,328.66",0,"8,328.66","52,874.00",15.75,Denmark,--,USD,6.35,AQLT
EAST,EASTERN CO.,Consumer Staples,Equity,"7,233.46",0,"7,233.46","9,418.00",0.77,Egypt,Egyptian Exchange,USD,51.95,AQLT
002027,FOCUS MEDIA INFORMATION TECHNOLOGY,Communication,Equity,"7,184.56",0,"7,184.56","7,900.00",0.91,China,Shenzhen Stock Exchange,USD,6.82,AQLT
605117,NINGBO DEYE TECHNOLOGY LTD A,Industrials,Equity,"7,135.24",0,"7,135.24",340,20.99,China,Shanghai Stock Exchange,USD,6.82,AQLT
000651,GREE ELECTRIC APPLIANCES INC OF ZH,Consumer Discretionary,Equity,"6,502.19",0,"6,502.19","1,200.00",5.42,China,Shenzhen Stock Exchange,USD,6.82,AQLT
MXN,MXN CASH,Cash and/or Derivatives,Cash,"6,361.44",0,"6,361.44","110,334.00",5.77,Mexico,--,USD,17.34,AQLT
