Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
ASML,ASML HOLDING NV,Information Technology,Equity,"4,042,385,959.92",2.22,"4,042,385,959.92","2,758,269.00","1,465.55",Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
AZN,ASTRAZENECA PLC,Health Care,Equity,"2,227,658,506.49",1.22,"2,227,658,506.49","11,017,328.00",202.2,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"2,224,190,081.25",1.22,"2,224,190,081.25","121,869,150.00",18.25,United Kingdom,London Stock Exchange,USD,0.74,01-Jan-98,IEFA
ROP,ROCHE PS PAR AG,Health Care,Equity,"2,059,130,861.31",1.13,"2,059,130,861.31","4,996,713.00",412.1,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
NOVN,NOVARTIS AG,Health Care,Equity,"2,049,796,798.23",1.13,"2,049,796,798.23","13,501,749.00",151.82,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
NESN,NESTLE SA,Consumer Staples,Equity,"1,805,412,861.44",0.99,"1,805,412,861.44","18,305,664.00",98.63,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
SHEL,SHELL PLC,Energy,Equity,"1,791,100,250.08",0.98,"1,791,100,250.08","40,448,447.00",44.28,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
SIE,SIEMENS N AG,Industrials,Equity,"1,541,605,029.65",0.85,"1,541,605,029.65","5,399,332.00",285.52,Germany,Xetra,USD,0.85,--,IEFA
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"1,534,415,657.10",0.84,"1,534,415,657.10","11,892,535.00",129.02,Australia,Asx - All Markets,USD,1.4,--,IEFA
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"1,445,007,295.03",0.79,"1,445,007,295.03","79,912,100.00",18.08,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BHP,BHP GROUP LTD,Materials,Equity,"1,438,719,514.44",0.79,"1,438,719,514.44","36,071,533.00",39.89,Australia,Asx - All Markets,USD,1.4,--,IEFA
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"1,431,471,251.06",0.79,"1,431,471,251.06","67,032,125.00",21.36,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
SAN,BANCO SANTANDER SA,Financials,Equity,"1,315,568,642.46",0.72,"1,315,568,642.46","103,903,676.00",12.66,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
SAP,SAP,Information Technology,Equity,"1,311,100,286.47",0.72,"1,311,100,286.47","7,415,393.00",176.81,Germany,Xetra,USD,0.85,--,IEFA
SU,SCHNEIDER ELECTRIC,Industrials,Equity,"1,253,686,695.84",0.69,"1,253,686,695.84","3,892,612.00",322.07,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
ALV,ALLIANZ,Financials,Equity,"1,237,910,338.61",0.68,"1,237,910,338.61","2,701,301.00",458.26,Germany,Xetra,USD,0.85,--,IEFA
TTE,TOTALENERGIES,Energy,Equity,"1,232,058,901.08",0.68,"1,232,058,901.08","14,065,927.00",87.59,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
ENR,SIEMENS ENERGY N AG,Industrials,Equity,"1,093,196,583.00",0.6,"1,093,196,583.00","5,500,360.00",198.75,Germany,Xetra,USD,0.85,--,IEFA
IBE,IBERDROLA SA,Utilities,Equity,"1,066,015,003.61",0.59,"1,066,015,003.61","45,575,731.00",23.39,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
ABBN,ABB LTD,Industrials,Equity,"1,059,649,098.09",0.58,"1,059,649,098.09","11,111,618.00",95.36,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
6501,HITACHI LTD,Industrials,Equity,"1,055,237,796.47",0.58,"1,055,237,796.47","32,508,000.00",32.46,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
MC,LVMH,Consumer Discretionary,Equity,"1,020,764,055.54",0.56,"1,020,764,055.54","1,767,707.00",577.45,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,Equity,"1,017,774,469.11",0.56,"1,017,774,469.11","59,618,565.00",17.07,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
UBSG,UBS GROUP AG,Financials,Equity,"986,825,930.01",0.54,"986,825,930.01","22,534,937.00",43.79,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,Equity,"934,645,391.56",0.51,"934,645,391.56","40,478,718.00",23.09,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"930,474,761.41",0.51,"930,474,761.41","43,649,000.00",21.32,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"929,576,206.21",0.51,"929,576,206.21","22,882,569.00",40.62,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.35,--,IEFA
6857,ADVANTEST CORP,Information Technology,Equity,"928,650,225.20",0.51,"928,650,225.20","5,439,800.00",170.71,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"912,305,930.90",0.5,"912,305,930.90","25,977,400.00",35.12,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
DTE,DEUTSCHE TELEKOM N AG,Communication,Equity,"909,540,501.07",0.5,"909,540,501.07","26,129,970.00",34.81,Germany,Xetra,USD,0.85,--,IEFA
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,"902,938,680.64",0.5,"902,938,680.64","4,115,543.00",219.4,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
SAF,SAFRAN SA,Industrials,Equity,"900,821,685.44",0.5,"900,821,685.44","2,525,599.00",356.68,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
ULVR,UNILEVER PLC,Consumer Staples,Equity,"894,679,275.30",0.49,"894,679,275.30","15,497,733.00",57.73,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
8035,TOKYO ELECTRON LTD,Information Technology,Equity,"886,505,244.26",0.49,"886,505,244.26","3,180,300.00",278.75,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,Equity,"882,839,334.88",0.49,"882,839,334.88","15,455,559.00",57.12,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
AIR,AIRBUS GROUP,Industrials,Equity,"874,478,202.49",0.48,"874,478,202.49","4,211,801.00",207.63,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
BP.,BP PLC,Energy,Equity,"840,842,782.58",0.46,"840,842,782.58","111,651,493.00",7.53,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
GSK,GLAXOSMITHKLINE,Health Care,Equity,"838,604,643.81",0.46,"838,604,643.81","28,924,072.00",28.99,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
RIO,RIO TINTO PLC,Materials,Equity,"804,974,708.06",0.44,"804,974,708.06","8,049,539.00",100,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
UCG,UNICREDIT,Financials,Equity,"796,198,181.47",0.44,"796,198,181.47","9,948,196.00",80.03,Italy,Borsa Italiana,USD,0.85,--,IEFA
1299,AIA GROUP LTD,Financials,Equity,"796,011,901.34",0.44,"796,011,901.34","74,654,000.00",10.66,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
9984,SOFTBANK GROUP CORP,Communication,Equity,"792,755,562.69",0.44,"792,755,562.69","26,360,700.00",30.07,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BNP,BNP PARIBAS SA,Financials,Equity,"777,901,693.06",0.43,"777,901,693.06","7,136,445.00",109,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,Equity,"772,674,510.34",0.42,"772,674,510.34","3,815,356.00",202.52,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
8411,MIZUHO FINANCIAL GROUP INC,Financials,Equity,"753,807,894.74",0.41,"753,807,894.74","17,662,470.00",42.68,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ZURN,ZURICH INSURANCE GROUP AG,Financials,Equity,"753,260,555.80",0.41,"753,260,555.80","1,037,799.00",725.83,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
SAN,SANOFI SA,Health Care,Equity,"752,231,488.99",0.41,"752,231,488.99","7,790,171.00",96.56,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
8058,MITSUBISHI CORP,Industrials,Equity,"707,767,476.14",0.39,"707,767,476.14","22,882,800.00",30.93,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
OR,LOREAL SA,Consumer Staples,Equity,"704,234,621.35",0.39,"704,234,621.35","1,704,670.00",413.12,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
WBC,WESTPAC BANKING CORPORATION CORP,Financials,Equity,"695,343,996.18",0.38,"695,343,996.18","24,259,861.00",28.66,Australia,Asx - All Markets,USD,1.4,--,IEFA
ISP,INTESA SANPAOLO,Financials,Equity,"675,750,340.95",0.37,"675,750,340.95","98,992,287.00",6.83,Italy,Borsa Italiana,USD,0.85,--,IEFA
D05,DBS GROUP HOLDINGS LTD,Financials,Equity,"671,673,802.26",0.37,"671,673,802.26","14,912,590.00",45.04,Singapore,Singapore Exchange,USD,1.27,01-Jan-98,IEFA
ENEL,ENEL,Utilities,Equity,"658,250,299.95",0.36,"658,250,299.95","57,464,785.00",11.45,Italy,Borsa Italiana,USD,0.85,--,IEFA
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,Equity,"645,966,444.30",0.36,"645,966,444.30","22,757,200.00",28.39,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BA.,BAE SYSTEMS PLC,Industrials,Equity,"645,030,074.31",0.35,"645,030,074.31","21,298,835.00",30.28,United Kingdom,London Stock Exchange,USD,0.74,01-Jan-98,IEFA
8031,MITSUI LTD,Industrials,Equity,"644,274,253.68",0.35,"644,274,253.68","17,524,900.00",36.76,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,Equity,"640,124,957.74",0.35,"640,124,957.74","21,788,874.00",29.38,Australia,Asx - All Markets,USD,1.4,--,IEFA
9983,FAST RETAILING LTD,Consumer Discretionary,Equity,"636,531,796.28",0.35,"636,531,796.28","1,353,600.00",470.25,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Equity,"619,843,583.66",0.34,"619,843,583.66","928,355.00",667.68,Germany,Xetra,USD,0.85,--,IEFA
NG.,NATIONAL GRID PLC,Utilities,Equity,"606,272,186.73",0.33,"606,272,186.73","35,124,310.00",17.26,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
INGA,ING GROEP NV,Financials,Equity,"600,107,762.82",0.33,"600,107,762.82","20,812,296.00",28.83,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"597,016,677.60",0.33,"597,016,677.60","1,112,260.00",536.76,Sweden,NYSE,USD,1,--,IEFA
CS,AXA SA,Financials,Equity,"593,608,279.22",0.33,"593,608,279.22","11,879,289.00",49.97,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
8766,TOKIO MARINE HOLDINGS INC,Financials,Equity,"589,611,483.83",0.32,"589,611,483.83","13,045,000.00",45.2,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BARC,BARCLAYS PLC,Financials,Equity,"587,012,733.42",0.32,"587,012,733.42","98,031,774.00",5.99,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
ANZ,ANZ GROUP HOLDINGS LTD,Financials,Equity,"580,416,884.74",0.32,"580,416,884.74","21,365,983.00",27.17,Australia,Asx - All Markets,USD,1.4,01-Jan-98,IEFA
LLOY,LLOYDS BANKING GROUP PLC,Financials,Equity,"578,870,002.62",0.32,"578,870,002.62","416,485,018.00",1.39,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
RHM,RHEINMETALL AG,Industrials,Equity,"567,654,667.36",0.31,"567,654,667.36","326,757.00","1,737.24",Germany,Xetra,USD,0.85,--,IEFA
DG,VINCI SA,Industrials,Equity,"563,552,429.81",0.31,"563,552,429.81","3,499,584.00",161.03,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
6861,KEYENCE CORP,Information Technology,Equity,"556,382,764.81",0.31,"556,382,764.81","1,379,400.00",403.35,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
INVE B,INVESTOR CLASS B,Financials,Equity,"541,560,550.41",0.3,"541,560,550.41","12,979,789.00",41.72,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
ABI,ANHEUSER-BUSCH INBEV SA,Consumer Staples,Equity,"529,677,505.20",0.29,"529,677,505.20","7,024,134.00",75.41,Belgium,Nyse Euronext - Euronext Brussels,USD,0.85,--,IEFA
GLEN,GLENCORE PLC,Materials,Equity,"525,888,146.34",0.29,"525,888,146.34","70,744,812.00",7.43,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
IFX,INFINEON TECHNOLOGIES AG,Information Technology,Equity,"522,451,455.88",0.29,"522,451,455.88","9,247,368.00",56.5,Germany,Xetra,USD,0.85,--,IEFA
8001,ITOCHU CORP,Industrials,Equity,"522,390,918.45",0.29,"522,390,918.45","41,977,700.00",12.44,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
EL,ESSILORLUXOTTICA SA,Health Care,Equity,"519,455,631.90",0.29,"519,455,631.90","2,136,961.00",243.08,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
6503,MITSUBISHI ELECTRIC CORP,Industrials,Equity,"516,006,369.96",0.28,"516,006,369.96","13,454,900.00",38.35,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4063,SHIN ETSU CHEMICAL LTD,Materials,Equity,"510,672,552.21",0.28,"510,672,552.21","11,969,100.00",42.67,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ITX,INDUSTRIA DE DISENO TEXTIL SA,Consumer Discretionary,Equity,"507,145,406.07",0.28,"507,145,406.07","7,931,237.00",63.94,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
PRX,PROSUS NV CLASS N,Consumer Discretionary,Equity,"482,390,277.34",0.27,"482,390,277.34","9,314,583.00",51.79,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"479,532,741.19",0.26,"479,532,741.19","9,983,400.00",48.03,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
REL,RELX PLC,Industrials,Equity,"473,610,617.53",0.26,"473,610,617.53","12,942,572.00",36.59,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
NWG,NATWEST GROUP PLC,Financials,Equity,"465,466,254.04",0.26,"465,466,254.04","56,686,989.00",8.21,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
RMS,HERMES INTERNATIONAL,Consumer Discretionary,Equity,"450,010,997.24",0.25,"450,010,997.24","225,406.00","1,996.45",France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
7741,HOYA CORP,Health Care,Equity,"448,881,454.53",0.25,"448,881,454.53","2,403,700.00",186.75,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
MQG,MACQUARIE GROUP LTD DEF,Financials,Equity,"441,877,360.04",0.24,"441,877,360.04","2,574,268.00",171.65,Australia,Asx - All Markets,USD,1.4,--,IEFA
WES,WESFARMERS LTD,Consumer Discretionary,Equity,"430,228,933.10",0.24,"430,228,933.10","8,049,184.00",53.45,Australia,Asx - All Markets,USD,1.4,--,IEFA
DBK,DEUTSCHE BANK AG,Financials,Equity,"429,027,017.14",0.24,"429,027,017.14","12,887,641.00",33.29,Germany,Xetra,USD,0.85,--,IEFA
ENGI,ENGIE SA,Utilities,Equity,"427,960,986.06",0.24,"427,960,986.06","12,914,987.00",33.14,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
O39,OVERSEA-CHINESE BANKING LTD,Financials,Equity,"423,964,766.10",0.23,"423,964,766.10","23,766,900.00",17.84,Singapore,Singapore Exchange,USD,1.27,--,IEFA
7974,NINTENDO LTD,Communication,Equity,"419,795,490.88",0.23,"419,795,490.88","7,833,600.00",53.59,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
GLE,SOCIETE GENERALE SA,Financials,Equity,"418,791,210.83",0.23,"418,791,210.83","4,894,979.00",85.56,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
DB1,DEUTSCHE BOERSE AG,Financials,Equity,"416,548,566.90",0.23,"416,548,566.90","1,340,894.00",310.65,Germany,Xetra,USD,0.85,--,IEFA
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,Equity,"415,130,840.93",0.23,"415,130,840.93","3,261,595.00",127.28,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
NDA FI,NORDEA BANK,Financials,Equity,"412,129,982.70",0.23,"412,129,982.70","22,054,066.00",18.69,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.85,--,IEFA
388,HONG KONG EXCHANGES AND CLEARING L,Financials,Equity,"403,313,915.76",0.22,"403,313,915.76","7,673,400.00",52.56,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
VOLV B,VOLVO CLASS B,Industrials,Equity,"399,524,380.33",0.22,"399,524,380.33","11,322,766.00",35.29,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
ATCO A,ATLAS COPCO CLASS A,Industrials,Equity,"397,793,025.96",0.22,"397,793,025.96","19,254,761.00",20.66,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
NOKIA,NOKIA,Information Technology,Equity,"394,824,249.15",0.22,"394,824,249.15","37,525,947.00",10.52,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.85,01-Jan-98,IEFA
4502,TAKEDA PHARMACEUTICAL LTD,Health Care,Equity,"394,254,644.24",0.22,"394,254,644.24","11,226,180.00",35.12,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BAS,BASF N,Materials,Equity,"394,148,708.68",0.22,"394,148,708.68","6,329,547.00",62.27,Germany,Xetra,USD,0.85,--,IEFA
AAL,ANGLO AMERICAN PLC,Materials,Equity,"389,685,801.56",0.21,"389,685,801.56","7,912,279.00",49.25,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
DSV,DSV,Industrials,Equity,"389,110,891.55",0.21,"389,110,891.55","1,448,839.00",268.57,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.35,--,IEFA
DHL,DEUTSCHE POST AG,Industrials,Equity,"383,099,158.45",0.21,"383,099,158.45","6,523,278.00",58.73,Germany,Xetra,USD,0.85,--,IEFA
ENI,ENI,Energy,Equity,"379,769,782.54",0.21,"379,769,782.54","14,463,932.00",26.26,Italy,Borsa Italiana,USD,0.85,--,IEFA
JPY,JPY CASH,Cash and/or Derivatives,Cash,"377,572,381.52",0.21,"377,572,381.52","59,937,727,704.00",0.63,Japan,--,USD,158.75,--,IEFA
5803,FUJIKURA LTD,Industrials,Equity,"372,365,062.84",0.2,"372,365,062.84","10,691,100.00",34.83,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
8002,MARUBENI CORP,Industrials,Equity,"370,242,108.41",0.2,"370,242,108.41","9,987,100.00",37.07,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BN,DANONE SA,Consumer Staples,Equity,"367,089,614.44",0.2,"367,089,614.44","4,588,671.00",80,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
ARGX,ARGENX,Health Care,Equity,"366,204,557.78",0.2,"366,204,557.78","439,647.00",832.95,Belgium,Nyse Euronext - Euronext Brussels,USD,0.85,--,IEFA
SREN,SWISS RE AG,Financials,Equity,"360,065,423.91",0.2,"360,065,423.91","2,118,496.00",169.96,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
9433,KDDI CORP,Communication,Equity,"356,020,672.78",0.2,"356,020,672.78","21,517,800.00",16.55,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
EOAN,E.ON N,Utilities,Equity,"353,447,176.99",0.19,"353,447,176.99","15,886,598.00",22.25,Germany,Xetra,USD,0.85,--,IEFA
6981,MURATA MANUFACTURING LTD,Information Technology,Equity,"351,918,386.09",0.19,"351,918,386.09","11,790,900.00",29.85,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
CABK,CAIXABANK SA,Financials,Equity,"345,639,991.89",0.19,"345,639,991.89","27,313,900.00",12.65,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
CPG,COMPASS GROUP PLC,Consumer Discretionary,Equity,"341,590,495.42",0.19,"341,590,495.42","12,002,477.00",28.46,United Kingdom,London Stock Exchange,USD,1,--,IEFA
CSL,CSL LTD,Health Care,Equity,"339,434,453.74",0.19,"339,434,453.74","3,448,829.00",98.42,Australia,Asx - All Markets,USD,1.4,--,IEFA
BAYN,BAYER AG,Health Care,Equity,"338,914,984.84",0.19,"338,914,984.84","6,961,109.00",48.69,Germany,Xetra,USD,0.85,--,IEFA
LONN,LONZA GROUP AG,Health Care,Equity,"337,567,440.61",0.19,"337,567,440.61","499,741.00",675.48,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
HOLN,HOLCIM LTD AG,Materials,Equity,"336,830,363.94",0.19,"336,830,363.94","3,624,790.00",92.92,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
STAN,STANDARD CHARTERED PLC,Financials,Equity,"332,275,945.43",0.18,"332,275,945.43","13,635,500.00",24.37,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
SAND,SANDVIK,Industrials,Equity,"330,107,497.20",0.18,"330,107,497.20","7,572,565.00",43.59,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
RACE,FERRARI NV,Consumer Discretionary,Equity,"328,957,271.18",0.18,"328,957,271.18","895,824.00",367.21,Italy,Borsa Italiana,USD,0.85,--,IEFA
RIO,RIO TINTO LTD,Materials,Equity,"326,490,826.66",0.18,"326,490,826.66","2,642,545.00",123.55,Australia,Asx - All Markets,USD,1.4,02-Jan-85,IEFA
LR,LEGRAND SA,Industrials,Equity,"324,891,252.17",0.18,"324,891,252.17","1,857,948.00",174.87,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
DGE,DIAGEO PLC,Consumer Staples,Equity,"324,517,602.05",0.18,"324,517,602.05","15,791,956.00",20.55,United Kingdom,London Stock Exchange,USD,0.74,01-Jan-98,IEFA
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,Consumer Discretionary,Equity,"318,173,725.16",0.17,"318,173,725.16","5,063,000.00",62.84,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
WDS,WOODSIDE ENERGY GROUP LTD,Energy,Equity,"315,944,934.38",0.17,"315,944,934.38","13,885,447.00",22.75,Australia,Asx - All Markets,USD,1.4,--,IEFA
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,Equity,"315,954,526.29",0.17,"315,954,526.29","5,160,668.00",61.22,Germany,Xetra,USD,0.85,--,IEFA
RKT,RECKITT BENCKISER GROUP PLC,Consumer Staples,Equity,"314,727,923.58",0.17,"314,727,923.58","4,568,812.00",68.89,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
6752,PANASONIC HOLDINGS CORP,Consumer Discretionary,Equity,"310,858,622.32",0.17,"310,858,622.32","16,545,600.00",18.79,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2914,JAPAN TOBACCO INC,Consumer Staples,Equity,"309,697,250.31",0.17,"309,697,250.31","8,491,000.00",36.47,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
AD,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,Equity,"309,202,504.56",0.17,"309,202,504.56","6,360,059.00",48.62,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
GMG,GOODMAN GROUP UNITS,Real Estate,Equity,"308,577,635.96",0.17,"308,577,635.96","14,448,491.00",21.36,Australia,Asx - All Markets,USD,1.4,--,IEFA
ASM,ASM INTERNATIONAL NV,Information Technology,Equity,"306,388,792.70",0.17,"306,388,792.70","332,414.00",921.71,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
HLN,HALEON PLC,Health Care,Equity,"304,561,414.89",0.17,"304,561,414.89","63,263,299.00",4.81,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
TSCO,TESCO PLC,Consumer Staples,Equity,"303,535,818.12",0.17,"303,535,818.12","45,432,433.00",6.68,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
6146,DISCO CORP,Information Technology,Equity,"302,470,566.00",0.17,"302,470,566.00","658,200.00",459.54,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
RWE,RWE AG,Utilities,Equity,"302,166,500.11",0.17,"302,166,500.11","4,475,127.00",67.52,Germany,Xetra,USD,0.85,--,IEFA
6301,KOMATSU LTD,Industrials,Equity,"297,576,616.59",0.16,"297,576,616.59","6,748,400.00",44.1,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
6702,FUJITSU LTD,Information Technology,Equity,"294,920,619.86",0.16,"294,920,619.86","12,474,600.00",23.64,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ASSA B,ASSA ABLOY B,Industrials,Equity,"292,707,091.14",0.16,"292,707,091.14","7,173,284.00",40.81,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrials,Equity,"292,354,322.35",0.16,"292,354,322.35","3,156,555.00",92.62,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
8053,SUMITOMO CORP,Industrials,Equity,"291,388,075.21",0.16,"291,388,075.21","7,709,400.00",37.8,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
SSE,SSE PLC,Utilities,Equity,"290,827,052.87",0.16,"290,827,052.87","8,546,038.00",34.03,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
CHF,CHF CASH,Cash and/or Derivatives,Cash,"288,602,380.67",0.16,"288,602,380.67","224,734,674.00",128.42,Switzerland,--,USD,0.78,--,IEFA
ALC,ALCON AG,Health Care,Equity,"283,312,604.70",0.16,"283,312,604.70","3,526,463.00",80.34,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
PRY,PRYSMIAN,Industrials,Equity,"282,048,084.76",0.16,"282,048,084.76","1,990,054.00",141.73,Italy,Borsa Italiana,USD,0.85,--,IEFA
9434,SOFTBANK CORP,Communication,Equity,"282,029,924.09",0.16,"282,029,924.09","200,766,100.00",1.4,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
EUR,EUR CASH,Cash and/or Derivatives,Cash,"278,731,498.64",0.15,"278,731,498.64","236,785,030.00",117.71,European Union,--,USD,0.85,--,IEFA
UCB,UCB SA,Health Care,Equity,"274,161,345.03",0.15,"274,161,345.03","899,238.00",304.88,Belgium,Nyse Euronext - Euronext Brussels,USD,0.85,--,IEFA
PRU,PRUDENTIAL PLC,Financials,Equity,"274,079,884.19",0.15,"274,079,884.19","18,144,748.00",15.11,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
