Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
8133,ITOCHU ENEX LTD,Energy,Equity,"3,243,370.81",0,"3,243,370.81","263,900.00",12.29,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
9166,GENDA INC,Consumer Discretionary,Equity,"3,212,276.29",0,"3,212,276.29","817,200.00",3.93,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
PLAZ B,PLATZER FASTIGHETER HOLDING CLASS,Real Estate,Equity,"3,226,998.35",0,"3,226,998.35","405,518.00",7.96,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
AO.,AO WORLD,Consumer Discretionary,Equity,"3,196,370.82",0,"3,196,370.82","2,530,680.00",1.26,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
BFF,BFF BANK,Financials,Equity,"3,201,105.12",0,"3,201,105.12","1,320,082.00",2.42,Italy,Borsa Italiana,USD,0.85,--,IEFA
9882,YELLOW HAT LTD,Consumer Discretionary,Equity,"3,203,799.80",0,"3,203,799.80","325,600.00",9.84,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
LUVE,LUVE,Industrials,Equity,"3,187,715.61",0,"3,187,715.61","58,488.00",54.5,Italy,Borsa Italiana,USD,0.85,--,IEFA
7456,MATSUDA SANGYO LTD,Industrials,Equity,"3,190,116.22",0,"3,190,116.22","79,500.00",40.13,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4694,BML INC,Health Care,Equity,"3,191,303.66",0,"3,191,303.66","132,100.00",24.16,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
SKIS B,SKISTAR CLASS B,Consumer Discretionary,Equity,"3,160,535.57",0,"3,160,535.57","175,874.00",17.97,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
DCRU,DIGITAL CORE REIT UNITS,Real Estate,Equity,"3,163,836.00",0,"3,163,836.00","6,203,600.00",0.51,Singapore,Singapore Exchange,USD,1,--,IEFA
