Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
QCOM,QUALCOMM INC,Information Technology,Equity,"21,011,130.72",0.13,"21,011,130.72","152,786.00",137.52,United States,NASDAQ,USD,1.00,IWY
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"20,857,488.96",0.13,"20,857,488.96","35,882.00",581.28,United States,NYSE,USD,1.00,IWY
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"19,891,333.02",0.12,"19,891,333.02","238,134.00",83.53,United States,NYSE,USD,1.00,IWY
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"19,603,251.96",0.12,"19,603,251.96","43,863.00",446.92,United States,NYSE,USD,1.00,IWY
SYK,STRYKER CORP,Health Care,Equity,"18,717,983.82",0.11,"18,717,983.82","55,323.00",338.34,United States,NYSE,USD,1.00,IWY
PEP,PEPSICO INC,Consumer Staples,Equity,"18,413,043.12",0.11,"18,413,043.12","117,288.00",156.99,United States,NASDAQ,USD,1.00,IWY
BAC,BANK OF AMERICA CORP,Financials,Equity,"17,597,896.55",0.11,"17,597,896.55","326,189.00",53.95,United States,NYSE,USD,1.00,IWY
CPRT,COPART INC,Industrials,Equity,"17,379,141.60",0.11,"17,379,141.60","514,785.00",33.76,United States,NASDAQ,USD,1.00,IWY
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"16,916,098.86",0.10,"16,916,098.86","132,219.00",127.94,United States,NASDAQ,USD,1.00,IWY
ITW,ILLINOIS TOOL INC,Industrials,Equity,"16,166,651.84",0.10,"16,166,651.84","59,288.00",272.68,United States,NYSE,USD,1.00,IWY
BA,BOEING,Industrials,Equity,"14,933,382.76",0.09,"14,933,382.76","66,347.00",225.08,United States,NYSE,USD,1.00,IWY
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"14,490,161.28",0.09,"14,490,161.28","245,056.00",59.13,United States,NYSE,USD,1.00,IWY
CRM,SALESFORCE INC,Information Technology,Equity,"11,889,241.56",0.07,"11,889,241.56","63,828.00",186.27,United States,NYSE,USD,1.00,IWY
KKR,KKR AND CO INC,Financials,Equity,"10,980,083.28",0.07,"10,980,083.28","105,659.00",103.92,United States,NYSE,USD,1.00,IWY
ECL,ECOLAB INC,Materials,Equity,"10,535,938.24",0.06,"10,535,938.24","38,218.00",275.68,United States,NYSE,USD,1.00,IWY
HCA,HCA HEALTHCARE INC,Health Care,Equity,"10,245,847.77",0.06,"10,245,847.77","21,429.00",478.13,United States,NYSE,USD,1.00,IWY
